Datetime,Open,High,Low,Close
2021-08-05 09:30:00-04:00,348.85,349.41,348.67,349.31
2021-08-05 09:35:00-04:00,349.36,349.83,349.27,349.73
2021-08-05 09:40:00-04:00,349.81,349.9,349.44,349.54
2021-08-05 09:45:00-04:00,349.53,349.71,349.05,349.21
2021-08-05 09:50:00-04:00,349.22,349.56,349.21,349.42
2021-08-05 09:55:00-04:00,349.39,349.57,349.25,349.57
2021-08-05 10:00:00-04:00,349.58,349.68,349.39,349.63
2021-08-05 10:05:00-04:00,349.65,349.77,349.51,349.51
2021-08-05 10:10:00-04:00,349.58,349.7,349.44,349.7
2021-08-05 10:15:00-04:00,349.73,349.73,349.48,349.54
2021-08-05 10:20:00-04:00,349.55,349.65,349.42,349.52
2021-08-05 10:25:00-04:00,349.51,349.66,349.37,349.37
2021-08-05 10:30:00-04:00,349.45,349.52,349.37,349.45
2021-08-05 10:35:00-04:00,349.46,349.61,349.43,349.57
2021-08-05 10:40:00-04:00,349.57,349.83,349.56,349.73
2021-08-05 10:45:00-04:00,349.74,349.84,349.67,349.8
2021-08-05 10:50:00-04:00,349.83,349.93,349.82,349.83
2021-08-05 10:55:00-04:00,349.83,349.91,349.73,349.79
2021-08-05 11:00:00-04:00,349.82,349.87,349.71,349.74
2021-08-05 11:05:00-04:00,349.74,349.81,349.66,349.67
2021-08-05 11:10:00-04:00,349.75,349.92,349.74,349.87
2021-08-05 11:15:00-04:00,349.89,349.96,349.84,349.91
2021-08-05 11:20:00-04:00,349.92,350.04,349.87,349.91
2021-08-05 11:25:00-04:00,349.93,350.01,349.89,349.94
2021-08-05 11:30:00-04:00,349.93,350.0,349.84,349.89
2021-08-05 11:35:00-04:00,349.92,349.93,349.76,349.79
2021-08-05 11:40:00-04:00,349.81,349.87,349.77,349.83
2021-08-05 11:45:00-04:00,349.83,349.93,349.79,349.91
2021-08-05 11:50:00-04:00,349.92,350.0,349.92,349.97
2021-08-05 11:55:00-04:00,349.99,349.99,349.88,349.93
2021-08-05 12:00:00-04:00,349.94,349.95,349.79,349.87
2021-08-05 12:05:00-04:00,349.87,350.0,349.87,350.0
2021-08-05 12:10:00-04:00,349.98,350.08,349.96,350.03
2021-08-05 12:15:00-04:00,350.04,350.04,349.91,349.92
2021-08-05 12:20:00-04:00,349.9,349.92,349.84,349.84
2021-08-05 12:25:00-04:00,349.82,349.85,349.76,349.84
2021-08-05 12:30:00-04:00,349.83,349.92,349.8,349.84
2021-08-05 12:35:00-04:00,349.84,349.85,349.7,349.74
2021-08-05 12:40:00-04:00,349.71,349.71,349.6,349.68
2021-08-05 12:45:00-04:00,349.68,349.74,349.62,349.74
2021-08-05 12:50:00-04:00,349.76,349.78,349.65,349.65
2021-08-05 12:55:00-04:00,349.67,349.67,349.58,349.58
2021-08-05 13:00:00-04:00,349.58,349.64,349.53,349.64
2021-08-05 13:05:00-04:00,349.63,349.65,349.53,349.59
2021-08-05 13:10:00-04:00,349.64,349.7,349.62,349.68
2021-08-05 13:15:00-04:00,349.68,349.75,349.64,349.75
2021-08-05 13:20:00-04:00,349.76,349.81,349.7,349.7
2021-08-05 13:25:00-04:00,349.72,349.79,349.72,349.77
2021-08-05 13:30:00-04:00,349.79,349.85,349.74,349.75
2021-08-05 13:35:00-04:00,349.77,349.77,349.68,349.72
2021-08-05 13:40:00-04:00,349.75,349.85,349.75,349.84
2021-08-05 13:45:00-04:00,349.82,349.9,349.81,349.89
2021-08-05 13:50:00-04:00,349.9,349.94,349.87,349.94
2021-08-05 13:55:00-04:00,349.95,349.98,349.93,349.97
2021-08-05 14:00:00-04:00,349.97,350.05,349.96,349.99
2021-08-05 14:05:00-04:00,349.94,349.96,349.84,349.85
2021-08-05 14:10:00-04:00,349.87,349.9,349.78,349.78
2021-08-05 14:15:00-04:00,349.77,349.84,349.76,349.77
2021-08-05 14:20:00-04:00,349.77,349.77,349.68,349.72
2021-08-05 14:25:00-04:00,349.72,349.83,349.72,349.78
2021-08-05 14:30:00-04:00,349.78,349.79,349.7,349.79
2021-08-05 14:35:00-04:00,349.78,349.82,349.75,349.8
2021-08-05 14:40:00-04:00,349.81,349.91,349.8,349.8
2021-08-05 14:45:00-04:00,349.82,349.82,349.71,349.79
2021-08-05 14:50:00-04:00,349.79,349.87,349.72,349.72
2021-08-05 14:55:00-04:00,349.71,349.81,349.71,349.78
2021-08-05 15:00:00-04:00,349.8,349.96,349.76,349.95
2021-08-05 15:05:00-04:00,349.95,350.0,349.9,349.94
2021-08-05 15:10:00-04:00,349.95,350.02,349.86,349.87
2021-08-05 15:15:00-04:00,349.86,349.86,349.73,349.75
2021-08-05 15:20:00-04:00,349.75,349.84,349.71,349.79
2021-08-05 15:25:00-04:00,349.79,349.9,349.79,349.9
2021-08-05 15:30:00-04:00,349.9,350.07,349.85,350.07
2021-08-05 15:35:00-04:00,350.08,350.15,350.05,350.1
2021-08-05 15:40:00-04:00,350.09,350.22,350.03,350.2
2021-08-05 15:45:00-04:00,350.19,350.22,350.11,350.22
2021-08-05 15:50:00-04:00,350.23,350.31,350.03,350.25
2021-08-05 15:55:00-04:00,350.24,350.65,350.21,350.62
