Datetime,Open,High,Low,Close
2021-09-21 09:30:00-04:00,27.23,27.23,25.7,26.04
2021-09-21 09:35:00-04:00,25.75,25.77,25.2,25.2
2021-09-21 09:40:00-04:00,25.21,25.39,25.08,25.29
2021-09-21 09:45:00-04:00,25.22,25.22,24.53,24.57
2021-09-21 09:50:00-04:00,24.58,24.89,24.56,24.87
2021-09-21 09:55:00-04:00,24.88,25.46,24.78,25.45
2021-09-21 10:00:00-04:00,25.46,25.69,25.37,25.63
2021-09-21 10:05:00-04:00,25.51,26.09,25.43,26.09
2021-09-21 10:10:00-04:00,26.09,26.4,26.09,26.17
2021-09-21 10:15:00-04:00,26.05,26.09,25.82,25.94
2021-09-21 10:20:00-04:00,25.93,26.26,25.82,26.2
2021-09-21 10:25:00-04:00,26.19,26.5,26.15,26.3
2021-09-21 10:30:00-04:00,26.26,26.27,26.08,26.17
2021-09-21 10:35:00-04:00,26.21,26.4,26.09,26.36
2021-09-21 10:40:00-04:00,26.3,26.3,26.01,26.06
2021-09-21 10:45:00-04:00,26.01,26.9,26.01,26.9
2021-09-21 10:50:00-04:00,26.92,27.44,26.92,27.36
2021-09-21 10:55:00-04:00,27.36,27.41,26.97,26.98
2021-09-21 11:00:00-04:00,27.03,27.23,27.03,27.19
2021-09-21 11:05:00-04:00,27.09,27.09,26.22,26.22
2021-09-21 11:10:00-04:00,26.18,26.24,25.76,25.76
2021-09-21 11:15:00-04:00,25.73,25.95,25.61,25.95
2021-09-21 11:20:00-04:00,25.96,26.19,25.93,26.19
2021-09-21 11:25:00-04:00,26.19,26.36,26.13,26.36
2021-09-21 11:30:00-04:00,26.39,26.39,25.58,25.58
2021-09-21 11:35:00-04:00,25.57,25.59,25.46,25.51
2021-09-21 11:40:00-04:00,25.53,25.53,25.37,25.37
2021-09-21 11:45:00-04:00,25.38,25.38,25.27,25.31
2021-09-21 11:50:00-04:00,25.35,25.47,25.33,25.47
2021-09-21 11:55:00-04:00,25.44,25.49,25.39,25.47
2021-09-21 12:00:00-04:00,25.47,25.49,25.09,25.11
2021-09-21 12:05:00-04:00,25.11,25.17,24.9,24.92
2021-09-21 12:10:00-04:00,24.92,25.0,24.81,24.82
2021-09-21 12:15:00-04:00,24.82,25.14,24.82,25.12
2021-09-21 12:20:00-04:00,25.13,25.16,25.07,25.13
2021-09-21 12:25:00-04:00,25.15,25.36,25.15,25.36
2021-09-21 12:30:00-04:00,25.37,25.51,25.37,25.37
2021-09-21 12:35:00-04:00,25.37,25.4,25.3,25.31
2021-09-21 12:40:00-04:00,25.31,25.4,25.31,25.35
2021-09-21 12:45:00-04:00,25.34,25.49,25.33,25.43
2021-09-21 12:50:00-04:00,25.42,25.92,25.42,25.85
2021-09-21 12:55:00-04:00,25.88,25.88,25.62,25.65
2021-09-21 13:00:00-04:00,25.71,25.9,25.59,25.9
2021-09-21 13:05:00-04:00,25.86,25.86,25.59,25.6
2021-09-21 13:10:00-04:00,25.6,25.62,25.54,25.57
2021-09-21 13:15:00-04:00,25.55,25.67,25.51,25.54
2021-09-21 13:20:00-04:00,25.51,25.66,25.4,25.65
2021-09-21 13:25:00-04:00,25.7,25.88,25.7,25.86
2021-09-21 13:30:00-04:00,25.9,25.99,25.86,25.95
2021-09-21 13:35:00-04:00,25.91,26.01,25.88,25.93
2021-09-21 13:40:00-04:00,25.85,26.0,25.85,26.0
2021-09-21 13:45:00-04:00,25.98,25.99,25.86,25.86
2021-09-21 13:50:00-04:00,25.82,26.21,25.68,26.21
2021-09-21 13:55:00-04:00,26.23,26.23,26.1,26.1
2021-09-21 14:00:00-04:00,26.09,26.09,25.76,25.76
2021-09-21 14:05:00-04:00,25.77,25.96,25.74,25.96
2021-09-21 14:10:00-04:00,25.93,26.09,25.93,26.04
2021-09-21 14:15:00-04:00,26.02,26.06,25.82,25.88
2021-09-21 14:20:00-04:00,25.94,26.13,25.92,26.13
2021-09-21 14:25:00-04:00,26.13,26.24,26.13,26.24
2021-09-21 14:30:00-04:00,26.24,26.24,26.03,26.04
2021-09-21 14:35:00-04:00,26.03,26.06,25.95,25.95
2021-09-21 14:40:00-04:00,25.96,25.96,25.83,25.85
2021-09-21 14:45:00-04:00,25.86,25.92,25.7,25.76
2021-09-21 14:50:00-04:00,25.78,25.78,25.23,25.3
2021-09-21 14:55:00-04:00,25.38,25.66,25.36,25.61
2021-09-21 15:00:00-04:00,25.61,25.61,25.35,25.53
2021-09-21 15:05:00-04:00,25.54,25.61,25.46,25.61
2021-09-21 15:10:00-04:00,25.62,25.66,25.39,25.39
2021-09-21 15:15:00-04:00,25.39,25.44,25.15,25.44
2021-09-21 15:20:00-04:00,25.46,25.5,25.25,25.3
2021-09-21 15:25:00-04:00,25.31,25.31,25.13,25.24
2021-09-21 15:30:00-04:00,25.19,25.19,25.06,25.11
2021-09-21 15:35:00-04:00,25.13,25.41,25.13,25.4
2021-09-21 15:40:00-04:00,25.46,25.52,25.35,25.43
2021-09-21 15:45:00-04:00,25.42,25.78,25.42,25.75
2021-09-21 15:50:00-04:00,25.79,25.83,25.29,25.75
2021-09-21 15:55:00-04:00,25.74,25.88,25.71,25.76
