Datetime,Open,High,Low,Close
2021-08-10 09:30:00-04:00,19.55,19.76,19.51,19.74
2021-08-10 09:35:00-04:00,19.71,19.77,19.68,19.76
2021-08-10 09:40:00-04:00,19.77,19.78,19.66,19.66
2021-08-10 09:45:00-04:00,19.62,19.62,19.44,19.47
2021-08-10 09:50:00-04:00,19.47,19.47,19.4,19.45
2021-08-10 09:55:00-04:00,19.46,19.48,19.35,19.39
2021-08-10 10:00:00-04:00,19.38,19.41,19.26,19.41
2021-08-10 10:05:00-04:00,19.4,19.43,19.38,19.43
2021-08-10 10:10:00-04:00,19.43,19.56,19.38,19.55
2021-08-10 10:15:00-04:00,19.58,19.74,19.51,19.7
2021-08-10 10:20:00-04:00,19.72,19.73,19.69,19.71
2021-08-10 10:25:00-04:00,19.7,19.77,19.66,19.77
2021-08-10 10:30:00-04:00,19.81,20.07,19.81,20.05
2021-08-10 10:35:00-04:00,20.05,20.05,19.89,19.92
2021-08-10 10:40:00-04:00,19.92,20.29,19.92,20.28
2021-08-10 10:45:00-04:00,20.26,20.29,20.03,20.03
2021-08-10 10:50:00-04:00,20.06,20.37,20.06,20.29
2021-08-10 10:55:00-04:00,20.3,20.47,20.3,20.44
2021-08-10 11:00:00-04:00,20.44,20.65,20.44,20.56
2021-08-10 11:05:00-04:00,20.55,20.65,20.52,20.65
2021-08-10 11:10:00-04:00,20.68,20.76,20.6,20.76
2021-08-10 11:15:00-04:00,20.78,20.78,20.65,20.7
2021-08-10 11:20:00-04:00,20.71,20.72,20.3,20.3
2021-08-10 11:25:00-04:00,20.28,20.28,20.12,20.15
2021-08-10 11:30:00-04:00,20.14,20.15,20.0,20.05
2021-08-10 11:35:00-04:00,20.04,20.04,19.91,19.93
2021-08-10 11:40:00-04:00,19.77,19.96,19.77,19.94
2021-08-10 11:45:00-04:00,19.94,19.95,19.77,19.77
2021-08-10 11:50:00-04:00,19.79,19.81,19.73,19.81
2021-08-10 11:55:00-04:00,19.8,19.82,19.78,19.82
2021-08-10 12:00:00-04:00,19.8,19.81,19.66,19.69
2021-08-10 12:05:00-04:00,19.69,19.69,19.63,19.68
2021-08-10 12:10:00-04:00,19.69,19.73,19.68,19.73
2021-08-10 12:15:00-04:00,19.72,19.75,19.67,19.67
2021-08-10 12:20:00-04:00,19.68,19.68,19.61,19.64
2021-08-10 12:25:00-04:00,19.64,19.78,19.62,19.78
2021-08-10 12:30:00-04:00,19.86,20.09,19.86,20.05
2021-08-10 12:35:00-04:00,20.05,20.05,19.95,19.98
2021-08-10 12:40:00-04:00,19.98,20.03,19.98,20.02
2021-08-10 12:45:00-04:00,20.01,20.03,20.0,20.02
2021-08-10 12:50:00-04:00,19.97,20.01,19.97,20.01
2021-08-10 12:55:00-04:00,20.01,20.02,19.95,20.01
2021-08-10 13:00:00-04:00,20.01,20.02,19.88,20.01
2021-08-10 13:05:00-04:00,19.96,20.05,19.96,20.04
2021-08-10 13:10:00-04:00,20.04,20.06,20.02,20.04
2021-08-10 13:15:00-04:00,20.04,20.06,19.97,19.99
2021-08-10 13:20:00-04:00,19.97,20.07,19.97,20.05
2021-08-10 13:25:00-04:00,20.05,20.11,20.05,20.07
2021-08-10 13:30:00-04:00,20.06,20.09,20.01,20.03
2021-08-10 13:35:00-04:00,20.03,20.06,20.03,20.06
2021-08-10 13:40:00-04:00,20.06,20.07,20.05,20.06
2021-08-10 13:45:00-04:00,20.07,20.14,20.03,20.1
2021-08-10 13:50:00-04:00,20.1,20.11,20.07,20.08
2021-08-10 13:55:00-04:00,20.07,20.07,20.04,20.04
2021-08-10 14:00:00-04:00,20.04,20.19,20.0,20.19
2021-08-10 14:05:00-04:00,20.19,20.23,20.15,20.22
2021-08-10 14:10:00-04:00,20.22,20.29,20.22,20.28
2021-08-10 14:15:00-04:00,20.28,20.31,20.18,20.18
2021-08-10 14:20:00-04:00,20.17,20.24,20.16,20.17
2021-08-10 14:25:00-04:00,20.16,20.17,20.07,20.08
2021-08-10 14:30:00-04:00,20.08,20.08,20.02,20.02
2021-08-10 14:35:00-04:00,20.02,20.02,20.0,20.0
2021-08-10 14:40:00-04:00,20.0,20.02,20.0,20.0
2021-08-10 14:45:00-04:00,20.0,20.0,19.94,19.98
2021-08-10 14:55:00-04:00,20.03,20.03,20.0,20.01
2021-08-10 15:00:00-04:00,19.99,20.05,19.99,20.04
2021-08-10 15:05:00-04:00,20.04,20.1,20.04,20.1
2021-08-10 15:10:00-04:00,20.1,20.13,20.1,20.12
2021-08-10 15:15:00-04:00,20.11,20.16,20.08,20.15
2021-08-10 15:25:00-04:00,20.1,20.11,20.05,20.07
2021-08-10 15:30:00-04:00,20.07,20.1,20.07,20.1
2021-08-10 15:35:00-04:00,20.11,20.18,20.08,20.18
2021-08-10 15:40:00-04:00,20.17,20.25,20.16,20.24
2021-08-10 15:45:00-04:00,20.22,20.32,20.22,20.32
2021-08-10 15:50:00-04:00,20.32,20.36,20.32,20.36
2021-08-10 15:55:00-04:00,20.35,20.36,20.27,20.31
